season,circuit,Driver,compound,tyre_age,stint,stint_lap,lap_time_s,driver_fastest_lap_s,fuel_corrected_delta,lap_time_delta,data_source
2018,Silverstone,GAS,SOFT,3,1,1,96.109,96.109,0.055,0.055,fastf1_real
2018,Silverstone,GAS,SOFT,4,1,2,96.975,96.109,0.9759999999999996,0.9759999999999996,fastf1_real
2018,Silverstone,GAS,SOFT,5,1,3,96.118,96.109,0.17400000000000035,0.17400000000000035,fastf1_real
2018,Silverstone,GAS,SOFT,6,1,4,96.232,96.109,0.34300000000000463,0.34300000000000463,fastf1_real
2018,Silverstone,GAS,SOFT,7,1,5,95.979,96.109,0.14500000000000457,0.14500000000000457,fastf1_real
2018,Silverstone,GAS,SOFT,8,1,6,95.992,95.979,0.34300000000000525,0.34300000000000525,fastf1_real
2018,Silverstone,GAS,SOFT,9,1,7,96.145,95.979,0.5509999999999968,0.5509999999999968,fastf1_real
2018,Silverstone,GAS,SOFT,10,1,8,95.655,95.979,0.11600000000000193,0.11600000000000193,fastf1_real
2018,Silverstone,GAS,SOFT,11,1,9,95.808,95.655,0.6480000000000058,0.6480000000000058,fastf1_real
2018,Silverstone,GAS,SOFT,12,1,10,96.153,95.655,1.0480000000000047,1.0480000000000047,fastf1_real
2018,Silverstone,GAS,SOFT,13,1,11,95.69,95.655,0.6399999999999966,0.6399999999999966,fastf1_real
2018,Silverstone,GAS,SOFT,14,1,12,95.635,95.655,0.640000000000004,0.640000000000004,fastf1_real
2018,Silverstone,GAS,SOFT,15,1,13,95.578,95.635,0.6579999999999978,0.6579999999999978,fastf1_real
2018,Silverstone,GAS,SOFT,16,1,14,95.701,95.578,0.8929999999999905,0.8929999999999905,fastf1_real
2018,Silverstone,GAS,SOFT,17,1,15,95.163,95.578,0.4099999999999937,0.4099999999999937,fastf1_real
2018,Silverstone,GAS,MEDIUM,2,2,1,94.265,95.163,-0.8429999999999961,0.0,fastf1_real
2018,Silverstone,GAS,MEDIUM,3,2,2,94.772,94.265,0.617000000000005,0.617000000000005,fastf1_real
2018,Silverstone,GAS,MEDIUM,4,2,3,95.095,94.265,0.9949999999999983,0.9949999999999983,fastf1_real
2018,Silverstone,GAS,MEDIUM,5,2,4,95.296,94.265,1.2510000000000059,1.2510000000000059,fastf1_real
2018,Silverstone,GAS,MEDIUM,6,2,5,95.064,94.265,1.0739999999999923,1.0739999999999923,fastf1_real
2018,Silverstone,GAS,MEDIUM,7,2,6,94.784,94.265,0.8490000000000055,0.8490000000000055,fastf1_real
2018,Silverstone,GAS,MEDIUM,8,2,7,94.734,94.265,0.8539999999999941,0.8539999999999941,fastf1_real
2018,Silverstone,GAS,MEDIUM,9,2,8,94.57,94.265,0.7449999999999926,0.7449999999999926,fastf1_real
2018,Silverstone,GAS,MEDIUM,10,2,9,94.512,94.265,0.7419999999999999,0.7419999999999999,fastf1_real
2018,Silverstone,GAS,MEDIUM,11,2,10,94.48,94.265,0.7650000000000035,0.7650000000000035,fastf1_real
2018,Silverstone,GAS,SOFT,13,3,1,96.701,94.265,2.490999999999993,2.490999999999993,fastf1_real
2018,Silverstone,GAS,SOFT,14,3,2,94.369,94.265,0.2139999999999992,0.2139999999999992,fastf1_real
2018,Silverstone,GAS,SOFT,15,3,3,93.937,94.265,-0.16300000000000295,0.0,fastf1_real
2018,Silverstone,GAS,SOFT,16,3,4,94.21,93.937,0.4929999999999961,0.4929999999999961,fastf1_real
2018,Silverstone,GAS,SOFT,20,3,5,93.945,93.937,0.2829999999999956,0.2829999999999956,fastf1_real
2018,Silverstone,GAS,SOFT,21,3,6,94.592,93.937,0.9850000000000012,0.9850000000000012,fastf1_real
2018,Silverstone,GAS,SOFT,22,3,7,93.596,93.937,0.044000000000006034,0.044000000000006034,fastf1_real
2018,Silverstone,GAS,SOFT,23,3,8,94.381,93.596,1.2249999999999965,1.2249999999999965,fastf1_real
2018,Silverstone,PER,SOFT,3,1,1,96.063,96.063,0.055,0.055,fastf1_real
2018,Silverstone,PER,SOFT,4,1,2,95.632,96.063,-0.3209999999999974,0.0,fastf1_real
2018,Silverstone,PER,SOFT,5,1,3,96.073,95.632,0.6059999999999883,0.6059999999999883,fastf1_real
2018,Silverstone,PER,SOFT,6,1,4,95.057,95.632,-0.35500000000000287,0.0,fastf1_real
2018,Silverstone,PER,SOFT,7,1,5,95.191,95.057,0.40900000000000036,0.40900000000000036,fastf1_real
2018,Silverstone,PER,SOFT,8,1,6,95.805,95.057,1.0780000000000047,1.0780000000000047,fastf1_real
2018,Silverstone,PER,SOFT,9,1,7,96.275,95.057,1.6030000000000035,1.6030000000000035,fastf1_real
2018,Silverstone,PER,SOFT,10,1,8,96.01,95.057,1.393000000000003,1.393000000000003,fastf1_real
2018,Silverstone,PER,SOFT,11,1,9,96.433,95.057,1.8710000000000049,1.8710000000000049,fastf1_real
2018,Silverstone,PER,MEDIUM,2,2,1,94.547,95.057,-0.4550000000000051,0.0,fastf1_real
2018,Silverstone,PER,MEDIUM,3,2,2,94.63,94.547,0.1929999999999984,0.1929999999999984,fastf1_real
2018,Silverstone,PER,MEDIUM,4,2,3,95.834,94.547,1.4520000000000062,1.4520000000000062,fastf1_real
2018,Silverstone,PER,MEDIUM,5,2,4,94.797,94.547,0.47,0.47,fastf1_real
2018,Silverstone,PER,MEDIUM,8,2,5,95.982,94.547,1.7100000000000022,1.7100000000000022,fastf1_real
2018,Silverstone,PER,MEDIUM,9,2,6,94.832,94.547,0.6149999999999967,0.6149999999999967,fastf1_real
2018,Silverstone,PER,MEDIUM,10,2,7,95.512,94.547,1.3500000000000034,1.3500000000000034,fastf1_real
2018,Silverstone,PER,MEDIUM,11,2,8,94.549,94.547,0.44200000000000955,0.44200000000000955,fastf1_real
2018,Silverstone,PER,MEDIUM,12,2,9,94.759,94.547,0.7070000000000033,0.7070000000000033,fastf1_real
2018,Silverstone,PER,MEDIUM,13,2,10,95.243,94.547,1.245999999999998,1.245999999999998,fastf1_real
2018,Silverstone,PER,MEDIUM,14,2,11,95.255,94.547,1.3129999999999984,1.3129999999999984,fastf1_real
2018,Silverstone,PER,MEDIUM,15,2,12,94.671,94.547,0.7840000000000095,0.7840000000000095,fastf1_real
2018,Silverstone,PER,MEDIUM,16,2,13,94.637,94.547,0.8050000000000034,0.8050000000000034,fastf1_real
2018,Silverstone,PER,MEDIUM,17,2,14,94.294,94.547,0.5169999999999999,0.5169999999999999,fastf1_real
2018,Silverstone,PER,MEDIUM,18,2,15,94.748,94.294,1.2790000000000077,1.2790000000000077,fastf1_real
2018,Silverstone,PER,SOFT,13,3,1,96.411,94.294,2.1720000000000046,2.1720000000000046,fastf1_real
2018,Silverstone,PER,SOFT,14,3,2,94.281,94.294,0.09700000000000898,0.09700000000000898,fastf1_real
2018,Silverstone,PER,SOFT,15,3,3,93.968,94.281,-0.14800000000000238,0.0,fastf1_real
2018,Silverstone,PER,SOFT,16,3,4,94.108,93.968,0.36000000000000054,0.36000000000000054,fastf1_real
2018,Silverstone,PER,SOFT,20,3,5,93.941,93.968,0.247999999999999,0.247999999999999,fastf1_real
2018,Silverstone,PER,SOFT,21,3,6,95.285,93.941,1.6739999999999942,1.6739999999999942,fastf1_real
2018,Silverstone,PER,SOFT,22,3,7,94.384,93.941,0.8279999999999978,0.8279999999999978,fastf1_real
2018,Silverstone,PER,SOFT,23,3,8,94.147,93.941,0.646000000000003,0.646000000000003,fastf1_real
2018,Silverstone,ALO,SOFT,3,1,1,96.474,96.474,0.055,0.055,fastf1_real
2018,Silverstone,ALO,SOFT,4,1,2,96.797,96.474,0.4329999999999933,0.4329999999999933,fastf1_real
2018,Silverstone,ALO,SOFT,5,1,3,96.084,96.474,-0.22500000000000056,0.0,fastf1_real
2018,Silverstone,ALO,SOFT,6,1,4,95.956,96.084,0.09199999999999989,0.09199999999999989,fastf1_real
